Pincode,Latitude,Longitude
516101,13.9582408,79.3512221
413701,18.6052957,74.7346515
413709,19.6214395,74.6665005
303121,27.1922473,75.9547573
413719,19.7076117,74.5719054
639001,10.9598608,78.0753232
643102,11.3480041,76.7902711
442401,19.9871214,79.3171957
127021,28.7982074,76.1474357
766014,19.8385122,82.9213871
680012,10.478882,76.1729767
680020,10.5302886,76.2178841
176215,32.2117741,76.3236749
385135,24.336809,72.5512353
422006,19.9894377,73.8228489
454775,22.6095219,75.6796638
422010,19.9599,73.7523964
422011,19.9886324,73.7995518
782460,25.8522287,93.4383834
422013,20.0033407,73.770608
639104,10.9381157,78.422263
852113,25.9061638,86.7833717
250001,28.8888221,77.6836755
250002,28.9700566,77.7082902
250004,28.9577343,77.745403
250005,28.9566973,77.6383683
680101,10.5954466,76.0399879
516269,14.0578109,78.7490137
176304,32.5339464,75.981025
590003,15.8409366,74.5224567
176313,32.4602755,75.928685
590010,15.8838404,74.5173724
590016,15.8873578,74.5511998
721102,22.4140225,87.2638652
631001,13.0860157,79.6651949
332001,27.6155585,75.1619728
131301,29.1316027,76.6839415
635109,12.732584,77.8501131
852218,26.1693145,86.7798416
262405,28.9537377,79.6906603
676105,10.8996517,75.9135699
160009,30.7420805,76.7937022
160011,30.7563806,76.7833661
441302,21.2751067,78.5889072
160014,30.7563685,76.7628984
176401,32.1071585,75.6660329
160019,30.7310607,76.7958785
160022,30.7108859,76.7687894
799004,23.8200518,91.2922885
799005,47.0473933,29.3863606
799006,23.8619799,91.2904607
160030,30.7063995,76.7786736
500001,17.3993088,78.4719341
500002,17.3745453,78.4695024
500003,17.4412641,78.4913321
500004,17.4026976,78.4623989
799009,23.884948,91.2580194
811302,25.2712605,86.0179185
401703,47.0473933,29.3863606
500008,17.3681008,78.3514097
500009,17.4991418,78.4665765
500010,17.8417023,79.0652729
500011,17.4683942,78.475649
811308,24.7543447,86.3775755
500013,17.3949778,78.5272043
500014,17.5438867,78.4718201
500015,17.4751718,78.4942029
500016,17.4380023,78.4559916
500017,17.4318607,78.5333847
500018,17.4568104,78.4329534
500019,17.4762579,78.3150218
500020,17.4115184,78.4970165
201005,28.6835093,77.3680576
201009,28.6436133,77.4331214
500023,17.3881823,78.4553723
201010,28.6499607,77.3574874
500025,17.4286072,78.5057454
500026,17.4444715,78.506552
500027,17.3943916,78.4945016
500028,17.3904419,78.4395117
500029,17.4029495,78.4835612
500030,17.3239367,78.4053096
201014,28.6409537,77.3683198
500032,17.4407804,78.3529151
500033,17.4310775,78.4057029
500034,17.4190342,78.442798
500035,17.3671138,78.5391989
500036,17.3086365,78.4908596
328001,26.7021,77.9044931
500038,17.4414467,78.4424702
500039,17.4057886,78.5662078
500037,17.4782061,78.4433793
422209,20.1601744,73.980814
131402,28.9098752,76.8796574
500043,17.553259,78.4345832
500044,17.4019993,78.509197
500045,17.4368473,78.4287041
500046,17.4567346,78.3323811
160071,30.7036682,76.7003113
500048,17.3749618,78.4166593
500049,17.4992176,78.3568173
500050,17.4959671,78.3328833
500055,17.5168495,78.4346866
500056,17.4782567,78.5347433
455001,22.9549486,76.073531
500058,17.28785,78.3603622
500059,17.3518079,78.5103351
500061,17.4228172,78.515389
500062,17.4793618,78.563251
500067,17.4816402,78.4704578
500068,17.3552246,78.5691217
262501,29.5854368,80.1678669
500070,17.333279,78.5738455
500072,17.4907454,78.4010997
500073,17.4317862,78.4389167
500074,17.3464921,78.5519891
500075,17.3916215,78.3313977
500076,17.360323,78.54316
500080,17.4248679,78.4851527
500081,17.4476921,78.3830008
500082,17.4271787,78.4548238
500083,17.4928382,78.6039458
500084,17.4626345,78.3596226
500085,17.495976,78.387991
500086,17.3461402,78.3823526
500087,17.5097428,78.5529835
680312,10.402901,76.308287
500089,17.3982801,78.3771414
500090,17.5320979,78.3795816
795003,24.7589744,93.9405135
795004,24.8047185,93.9259151
795001,24.8056709,93.9386517
500092,17.4134042,78.5851448
500088,17.4760119,78.71415
500094,17.4934689,78.5450732
500097,17.3262698,78.5286069
795009,24.6729279,93.8962886
500100,17.5343878,78.4825766
606601,12.2500199,79.077412
688522,9.5721683,76.3219064
688524,9.6895444,76.3333718
500108,47.0473933,29.3863606
201102,28.7477217,77.3263484
713103,23.204807,87.87795
721302,22.3160515,87.3081522
721305,22.3462594,87.3342937
414105,19.4018319,74.8135836
209311,47.0473933,29.3863606
324001,25.1711651,75.8627846
324002,25.2048285,75.8797729
627107,8.50846,77.574139
324005,25.1468057,75.8473646
324009,25.1527274,75.8304988
451001,21.8427138,75.5860891
152001,30.9160399,74.6012833
492001,21.2386523,81.6513233
586209,17.1751121,75.9530171
492003,21.3095207,81.6261634
492006,21.2305917,81.6683547
492013,21.2206803,81.6070377
335512,29.6145045,74.298286
713205,23.5698735,87.3054897
721401,21.7696111,87.7621728
713213,23.29193,87.6405598
713216,23.5029868,87.374898
123401,28.1536912,76.6730895
533003,16.9736007,82.2240282
533004,16.9635613,82.2296797
799253,24.3766934,92.160189
799262,24.378497,92.2309337
148001,30.2478302,75.8373343
754211,20.5089709,86.418039
799271,23.8586574,92.2128719
342037,26.7383741,73.1681745
262701,27.9747088,80.7318801
152116,30.1249307,74.2014506
791102,28.1759291,95.1505458
582209,15.7067255,75.7268937
791111,27.0929605,93.6194625
791113,27.0791747,93.6232415
201301,28.5717051,77.3672716
201303,28.5539528,77.3624242
201304,28.52773,77.389534
201305,28.5208885,77.4182658
201306,28.4957019,77.4774367
201307,28.600891,77.3732387
201308,28.4905694,77.4964079
201309,28.6138587,77.3685037
410206,18.9937868,73.1141508
201310,28.4512944,77.5014102
410208,19.0674186,73.1153857
410209,19.2427961,73.1728375
410210,19.0467988,73.0694143
680546,10.6054552,76.1284445
410221,18.9658827,73.1290997
680566,10.4147496,76.0999621
144001,31.3181456,75.5777445
144002,31.3276255,75.5488742
144003,31.3000595,75.5732162
533124,16.9417934,81.8324947
680584,10.6850934,76.1609904
144020,31.2494579,75.6189468
574104,13.2143865,74.9958256
570008,12.3653068,76.771365
570017,12.3321344,76.6105984
570019,12.3295963,76.6761241
570020,12.36682,76.6909514
570023,12.2909624,76.6249888
570026,12.3611493,76.6797172
627002,8.7228418,77.7362693
402107,18.7376448,73.0976189
627005,8.7000856,77.7159579
361150,47.0473933,29.3863606
627006,8.7278579,77.6857596
721607,19.9476772,88.9974255
676552,10.9022048,76.0603232
631501,12.7641515,79.6632356
631502,12.8400218,79.7235262
500007,17.4167351,78.5323787
226001,26.8628675,80.9080195
226002,26.804994,80.9568395
226004,26.8449317,80.9064599
226006,26.8781957,80.9514222
226010,26.8551528,81.0003058
226012,26.7910177,80.9061468
226016,26.8791726,80.9901324
140001,30.9994553,76.4489864
226017,26.8434407,80.8733323
226020,26.8887992,80.9284734
226021,26.7690749,80.6500114
226022,26.8966302,80.9688406
226024,26.894091,80.9428045
226025,26.747235,80.954802
680683,10.3378688,76.2869102
226028,26.884269,81.0531487
742135,24.3171446,88.344005
680702,10.3855592,76.155319
230144,25.8890923,81.8297145
574214,13.007413,75.2851414
303905,26.7647016,75.8477697
402209,18.7640525,72.9447097
521001,16.1800629,81.1339527
828205,23.7797496,86.6511684
734004,26.696711,88.434107
734010,26.7232155,88.3853973
742202,24.6763673,87.9542754
140101,30.7970674,76.5073472
144205,31.8189997,75.6651047
144207,31.7343879,75.7567908
140113,31.0252963,76.5879494
144211,31.9503659,75.6209032
742237,24.3485428,88.1598475
140126,31.3143541,76.3560413
390001,22.3011132,73.2047281
390002,22.3283652,73.181278
390004,22.2771285,73.2131951
390007,22.3080605,73.1656754
