"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2024-04-30T22:31:36+05:30","SQ-GG71-Y57X","X001VKOO49","B0CGL7W1QT","BLR8","1","406-8927181-9009127","INR","599.00","0.00","0.00","BENGALURU","KARNATAKA","562125"
"2024-04-30T22:30:10+05:30","1M-WO07-G93U","X0017PANTN","B08DXQXXY7","PNQ3","1","407-7905015-2042749","INR","474.05","40.00","0.00","PUNE","MAHARASHTRA","411021"
"2024-04-30T20:18:17+05:30","03-NWK0-6I3X","X001IF8NA3","163651071X","DEL4","1","405-6082904-6846767","INR","474.05","0.00","0.00","NEW DELHI","DELHI","110025"
"2024-04-30T20:10:14+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BOM5","1","402-4677621-7721104","INR","474.05","40.00","0.00","Rajkot","Gujarat","360005"
"2024-04-30T19:47:17+05:30","COMBO-TPS-4","X001E1U4XP","1636510426","BLR7","1","404-6371020-4124316","INR","3371.55","0.00","0.00","CHENNAI","TAMIL NADU","600126"
"2024-04-30T19:25:11+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","DEL4","1","408-5263838-8417939","INR","1999.00","0.00","0.00","NEW DELHI","DELHI","110001"
"2024-04-30T18:52:09+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","ATX1","1","408-6464289-0333930","INR","1999.00","40.00","0.00","Dehradun","UTTARAKHAND","248008"
"2024-04-30T18:27:12+05:30","71-WO4G-XF3U","X001M2Z1P7","1636510973","DEL5","1","403-7450618-4737968","INR","399.00","0.00","0.00","New Delhi","DELHI","110068"
"2024-04-30T18:02:09+05:30","15-KVM1-4SWU","X00176YALT","1949395774","LKO1","1","403-2591346-6311538","INR","474.05","0.00","0.00","ZIRAKPUR","PUNJAB","140603"
"2024-04-30T16:25:10+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","BOM7","1","404-0124701-4917143","INR","616.55","40.00","0.00","RAIPUR","CHHATTISGARH","492001"
"2024-04-30T15:52:10+05:30","1M-WO07-G93U","X0017PANTN","B08DXQXXY7","BOM5","1","408-8725151-7893130","INR","0.00","0.00","0.00","SURAT","GUJARAT","395010"
"2024-04-30T15:27:17+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR8","1","405-3863326-0946740","INR","474.05","0.00","0.00","Bengaluru","KARNATAKA","560038"
"2024-04-30T14:10:47+05:30","OU-KE7Z-UP3G","X000V08B8Z","1946383783","TQBF","1","406-4151615-1645963","INR","399.00","40.00","0.00","PATNA","BIHAR","800014"
"2024-04-30T14:10:47+05:30","GK-ND87-N41K","X001HPZSCZ","1636510817","TQBF","1","406-4151615-1645963","INR","1469.00","40.00","0.00","PATNA","BIHAR","800014"
"2024-04-30T14:10:47+05:30","ID-RAD3-Z3IF","X0011Z2K5J","194939512X","TQBF","1","406-4151615-1645963","INR","799.00","40.00","0.00","PATNA","BIHAR","800014"
"2024-04-30T14:10:47+05:30","U8-KCEM-TWMU","X000V093TB","1946383740","TQBF","1","406-4151615-1645963","INR","399.00","40.00","0.00","PATNA","BIHAR","800014"
"2024-04-30T14:10:45+05:30","LK-IAT7-ZFX4","X001WYI8QJ","B0CN124BJN","TQBF","1","407-8330720-5459556","INR","1369.00","0.00","0.00","GHAZIABAD","UTTAR PRADESH","201014"
"2024-04-30T14:10:45+05:30","L3-RHNH-9WSP","X001SFOJ5L","B0C6LQ8X9W","TQBF","1","407-8330720-5459556","INR","1269.00","0.00","0.00","GHAZIABAD","UTTAR PRADESH","201014"
"2024-04-30T14:10:45+05:30","0Z-GJKV-T4YS","X001EPBRZZ","B09928KGB6","TQBF","1","406-1160959-4734723","INR","1469.00","0.00","0.00","AHMEDABAD","GUJARAT","380058"
"2024-04-30T14:10:44+05:30","8G-23IG-SD80","X000WIW67D","1946383864","TQBF","1","406-1653307-6202752","INR","399.00","0.00","0.00","KOTTIYAM","KERALA","691571"
"2024-04-30T14:10:44+05:30","KT-HOZ8-6NU5","X000WEMJGZ","1946383848","TQBF","1","406-1653307-6202752","INR","399.00","0.00","0.00","KOTTIYAM","KERALA","691571"
"2024-04-30T14:10:22+05:30","KC-PA75-47UJ","X001YTKDRT","B0CW2YX12T","TQBF","1","405-5372731-8649143","INR","879.00","40.00","0.00","LUCKNOW","UTTAR PRADESH","226002"
"2024-04-30T14:04:10+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","ATX1","1","171-1942392-0536355","INR","1999.00","40.00","0.00","MORINDA","PUNJAB","140101"
"2024-04-30T14:02:17+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","ATX1","1","404-7635822-2329945","INR","1999.00","0.00","0.00","GREATER NOIDA","UTTAR PRADESH","201310"
"2024-04-30T13:58:21+05:30","COMBO-TPS-4","X001E1U4XP","1636510426","HYD8","1","171-6893970-6517138","INR","3371.55","40.00","0.00","SAMBALPUR","ODISHA","768006"
"2024-04-30T13:48:21+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","AMD2","1","171-9280181-8373923","INR","616.55","40.00","0.00","BHOPAL","MADHYA PRADESH","462030"
"2024-04-30T12:43:03+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BLR7","1","403-1141360-6161925","INR","474.05","40.00","0.00","CHENNAI","TAMIL NADU","600127"
"2024-04-30T11:29:12+05:30","1N-Z5TG-L8OO","X001D66I09","1636510345","HYD8","1","171-5041113-3009937","INR","474.05","40.00","0.00","GUNTUR","ANDHRA PRADESH","522001"
"2024-04-30T11:27:15+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BOM7","1","404-9936923-6866707","INR","474.05","0.00","0.00","barasat","WEST BENGAL","700127"
